geneId,protein_id,geneName,diseaseId,diseaseName,score,NumberOfPubmeds,associationType,source
3383,ICAM1,intercellular adhesion molecule 1,umls:C0009324,"Colitis, Ulcerative",0.324264393248251,14,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN, RGD"
6364,CCL20,chemokine (C-C motif) ligand 20,umls:C0009324,"Colitis, Ulcerative",0.310850513710281,5,"Biomarker, Therapeutic","BeFree, CTD_human, RGD"
64127,NOD2,nucleotide-binding oligomerization domain containing 2,umls:C0009324,"Colitis, Ulcerative",0.303875728080672,105,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
149233,IL23R,interleukin 23 receptor,umls:C0009324,"Colitis, Ulcerative",0.280166903993674,54,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
7124,TNF,tumor necrosis factor,umls:C0009324,"Colitis, Ulcerative",0.277077806326117,60,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
3586,IL10,interleukin 10,umls:C0009324,"Colitis, Ulcerative",0.260085326467755,44,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
3553,IL1B,"interleukin 1, beta",umls:C0009324,"Colitis, Ulcerative",0.235751668927792,32,"AlteredExpression, Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
9966,TNFSF15,"tumor necrosis factor (ligand) superfamily, member 15",umls:C0009324,"Colitis, Ulcerative",0.228076978642778,16,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
6774,STAT3,signal transducer and activator of transcription 3 (acute-phase response factor),umls:C0009324,"Colitis, Ulcerative",0.224576861884458,21,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
4485,MST1,macrophage stimulating 1 (hepatocyte growth factor-like),umls:C0009324,"Colitis, Ulcerative",0.223775379132775,12,"AlteredExpression, Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
3593,IL12B,interleukin 12B,umls:C0009324,"Colitis, Ulcerative",0.223208369992588,11,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
1811,SLC26A3,"solute carrier family 26 (anion exchanger), member 3",umls:C0009324,"Colitis, Ulcerative",0.221868842166831,6,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
3717,JAK2,Janus kinase 2,umls:C0009324,"Colitis, Ulcerative",0.220969297497952,11,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
64170,CARD9,"caspase recruitment domain family, member 9",umls:C0009324,"Colitis, Ulcerative",0.220118783787671,6,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
6556,SLC11A1,"solute carrier family 11 (proton-coupled divalent metal ion transporter), member 1",umls:C0009324,"Colitis, Ulcerative",0.220118783787671,5,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
8924,HERC2,HECT and RLD domain containing E3 ubiquitin protein ligase 2,umls:C0009324,"Colitis, Ulcerative",0.220040788762959,3,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
3576,CXCL8,chemokine (C-X-C motif) ligand 8,umls:C0009324,"Colitis, Ulcerative",0.219375717705576,17,"AlteredExpression, Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
5771,PTPN2,"protein tyrosine phosphatase, non-receptor type 2",umls:C0009324,"Colitis, Ulcerative",0.21914124409408,8,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
2212,FCGR2A,"Fc fragment of IgG, low affinity IIa, receptor (CD32)",umls:C0009324,"Colitis, Ulcerative",0.218085220838417,6,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
10109,ARPC2,"actin related protein 2/3 complex, subunit 2, 34kDa",umls:C0009324,"Colitis, Ulcerative",0.217723721243612,2,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD, LHGDN"
3912,LAMB1,"laminin, beta 1",umls:C0009324,"Colitis, Ulcerative",0.217234707128136,4,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
3172,HNF4A,"hepatocyte nuclear factor 4, alpha",umls:C0009324,"Colitis, Ulcerative",0.216335162459257,7,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
8807,IL18RAP,interleukin 18 receptor accessory protein,umls:C0009324,"Colitis, Ulcerative",0.214917639608789,3,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
999,CDH1,"cadherin 1, type 1, E-cadherin (epithelial)",umls:C0009324,"Colitis, Ulcerative",0.214585104080097,8,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
345611,IRGM,"immunity-related GTPase family, M",umls:C0009324,"Colitis, Ulcerative",0.21401809493991,8,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
5970,RELA,v-rel avian reticuloendotheliosis viral oncogene homolog A,umls:C0009324,"Colitis, Ulcerative",0.213940099915198,7,"AlteredExpression, Biomarker","BeFree, CTD_human, LHGDN"
4584,MUC3A,"mucin 3A, cell surface associated",umls:C0009324,"Colitis, Ulcerative",0.213167581229629,3,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
94103,ORMDL3,ORMDL sphingolipid biosynthesis regulator 3,umls:C0009324,"Colitis, Ulcerative",0.213167581229629,3,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
3579,CXCR2,chemokine (C-X-C motif) receptor 2,umls:C0009324,"Colitis, Ulcerative",0.212600572089441,2,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
2768,GNA12,guanine nucleotide binding protein (G protein) alpha 12,umls:C0009324,"Colitis, Ulcerative",0.212600572089441,2,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
23308,ICOSLG,inducible T-cell co-stimulator ligand,umls:C0009324,"Colitis, Ulcerative",0.212600572089441,2,"Biomarker, GeneticVariation","BeFree, CTD_human, GAD"
1001,CDH3,"cadherin 3, type 1, P-cadherin (placental)",umls:C0009324,"Colitis, Ulcerative",0.212317067519348,1,"Biomarker, GeneticVariation","CTD_human, GAD"
7850,IL1R2,"interleukin 1 receptor, type II",umls:C0009324,"Colitis, Ulcerative",0.212317067519348,1,"Biomarker, GeneticVariation","CTD_human, GAD"
4046,LSP1,lymphocyte-specific protein 1,umls:C0009324,"Colitis, Ulcerative",0.212317067519348,1,"Biomarker, GeneticVariation","CTD_human, GAD"
3663,IRF5,interferon regulatory factor 5,umls:C0009324,"Colitis, Ulcerative",0.211417522850468,6,"Biomarker, GeneticVariation","BeFree, CTD_human"
1235,CCR6,chemokine (C-C motif) receptor 6,umls:C0009324,"Colitis, Ulcerative",0.210850513710281,4,Biomarker,"BeFree, CTD_human"
4318,MMP9,"matrix metallopeptidase 9 (gelatinase B, 92kDa gelatinase, 92kDa type IV collagenase)",umls:C0009324,"Colitis, Ulcerative",0.210567009140187,3,Biomarker,"BeFree, CTD_human"
4353,MPO,myeloperoxidase,umls:C0009324,"Colitis, Ulcerative",0.210567009140187,4,Biomarker,"BeFree, CTD_human"
1670,DEFA5,"defensin, alpha 5, Paneth cell-specific",umls:C0009324,"Colitis, Ulcerative",0.210283504570094,2,Biomarker,"BeFree, CTD_human"
8624,PSMG1,"proteasome (prosome, macropain) assembly chaperone 1",umls:C0009324,"Colitis, Ulcerative",0.210283504570094,2,Biomarker,"BeFree, CTD_human"
8767,RIPK2,receptor-interacting serine-threonine kinase 2,umls:C0009324,"Colitis, Ulcerative",0.210283504570094,1,Biomarker,"BeFree, CTD_human"
3577,CXCR1,chemokine (C-X-C motif) receptor 1,umls:C0009324,"Colitis, Ulcerative",0.21,1,Biomarker,CTD_human
1671,DEFA6,"defensin, alpha 6, Paneth cell-specific",umls:C0009324,"Colitis, Ulcerative",0.21,1,Biomarker,CTD_human
51738,GHRL,ghrelin/obestatin prepropeptide,umls:C0009324,"Colitis, Ulcerative",0.21,1,Biomarker,CTD_human
10320,IKZF1,IKAROS family zinc finger 1 (Ikaros),umls:C0009324,"Colitis, Ulcerative",0.21,1,Biomarker,CTD_human
3575,IL7R,interleukin 7 receptor,umls:C0009324,"Colitis, Ulcerative",0.21,1,Biomarker,CTD_human
