gene,dili_influence
A1BG,0.0009847819435694414
A2M,0.1067046398512844
A4GALT,0.001531865294218888
AAAS,0.0015869775137623643
AACS,0.0036707523646400393
AADAT,0.012104063785316307
AAGAB,0.0004331000713758262
AAK1,0.002057949805394175
AAMP,0.0007548997935884367
AAR2,0.0007226337216786708
AARS2,0.0010722793096882021
AASDH,0.01212311080308228
AASDHPPT,0.0021545526177398746
AASS,0.0026605856638027055
AATF,0.004593186452753417
ABAT,0.015436152388418467
ABCA1,0.050216198655313515
ABCA2,0.010744951592932846
ABCA7,0.009537804499204976
ABCB1,0.15525742867895606
ABCB10,0.004807947313682357
ABCB11,0.031390127758912624
ABCB4,0.001281971151316038
ABCB6,0.01075447142155136
ABCB7,0.002382586743840115
ABCC1,6.856728740718793e-05
ABCC2,1.9987649318442262e-05
ABCC3,0.002003834903567217
ABCC5,4.9744176173102714e-05
ABCC6,0.0030062927313377666
ABCC9,0.00029260271265033706
ABCD1,0.0020774502018903684
ABCD3,0.0028067349929869734
ABCD4,0.012184281483517544
ABCE1,0.004638589904089186
ABCF1,0.0014857836753683707
ABCF2,5.791948619395529e-05
ABCF3,0.00011189933584662972
ABCG1,0.02956987971577399
ABCG2,4.683760880966463e-05
ABCG5,0.03300594598212754
ABCG8,0.02738881712920313
ABHD12,0.0004440835979784078
ABHD5,0.00453310552485241
ABHD6,0.0010201288130589348
ABI1,0.006106393723988872
ABI2,0.0053404706517464345
ABI3,0.0021349990115093155
ABL1,0.016481884372763458
ABL2,0.0019518058615720826
ABLIM1,0.0014590690414879176
ABLIM3,0.0014491186609828716
ABT1,0.0006836004174197005
ACAA1,0.023695495223342786
ACAA2,0.01833041115249396
ACACA,0.02162756876255095
ACACB,0.022919800867592495
ACAD11,0.00035176494600302246
ACAD8,0.0034228351687202647
ACAD9,0.0019813783242256444
ACADL,0.007606643639965348
ACADM,0.0025224545303637307
ACADS,0.019399123174521932
ACADSB,0.008952099022301808
ACADVL,0.006677745568483818
ACAP1,0.0002411412208944066
ACAP2,0.000374114935708219
ACAT1,0.016341397285750053
ACAT2,0.015884739103715188
ACBD3,0.002402521964727338
ACBD4,0.0003001847621070668
ACBD5,0.0003143265153712868
ACD,0.0018935355216024006
ACER3,0.004754177310609683
ACHE,0.008233932339210331
ACIN1,0.0006864326319260128
ACKR2,0.033969830069954375
ACKR3,0.009867757680774806
ACLY,0.02387369236136387
ACMSD,0.00977077873956736
ACO1,0.017742838393881646
ACO2,0.01825311504290824
ACOT1,0.011785108003842457
ACOT12,0.010617129531674558
ACOT13,0.00023081079365312423
ACOT2,0.011758037498281
ACOT4,0.010494072129290967
ACOT7,0.004542458853891244
ACOT8,0.006943452515026498
ACOX1,0.03192832558606682
ACOX2,0.008288382210538488
ACOX3,0.021020490333651404
ACP5,0.007129957275268611
ACSF2,0.0004673637103444005
ACSF3,0.010631008835044137
ACSL1,0.0029979463205880713
ACSL3,0.0029238733696564725
ACSL4,0.0025435792695743917
ACSL5,0.002919851797488458
ACSM1,0.0008893378857559041
ACSM2A,0.0008576150293950054
ACSM2B,0.0008581045738077153
ACSM3,0.0004908367539681654
ACSM5,0.0004801108727680282
ACSS1,0.025507189641358206
ACSS2,0.02465557374372953
ACSS3,0.009016097365797488
ACTA1,0.02712445142798998
ACTA2,0.036721587145052303
ACTB,0.05386979596960663
ACTG1,0.038019769542694246
ACTG2,0.007393494127320783
ACTL6A,0.010942044112967888
ACTN1,0.01132405738476939
ACTN4,0.012541097640136941
ACTR10,0.002113354825892986
ACTR1A,0.00222302749132253
ACTR1B,0.0011165947184704507
ACTR2,0.010976290887329484
ACTR3,0.008189374481833142
ACTR3B,0.006450891745487499
ACTR3C,0.004102670456546557
ACTR5,0.0030119762850475988
ACTR6,0.0009306867512204432
ACTR8,0.0032148481496597553
ACVR1,0.009359142683186448
ACVR1B,0.004026972937158538
ACVR2A,0.008707147026796501
ACVR2B,0.008108075109380008
ACVRL1,0.006596576177395725
ACY1,0.02592700935972939
ACYP1,0.007323965365477007
ACYP2,0.00732629585454496
ADA,0.013040834216784146
ADAM10,0.00871434105783106
ADAM15,0.010691293666840074
ADAM17,0.010049030165164674
ADAM9,0.010325185693334597
ADAMTS10,0.0023010150000954545
ADAMTS13,0.005463285583204154
ADAMTS2,0.0047770392040151636
ADAMTSL2,0.0014289095436384382
ADAMTSL4,0.00217382321617058
ADAP1,0.0003709429175321117
ADAR,0.0017654115795306066
ADCY1,0.005391474489990303
ADCY10,0.0028482490882673914
ADCY3,0.008679388818207828
ADCY4,0.003037512551576007
ADCY5,0.006131779144753542
ADCY6,0.005828546875607199
ADCY9,0.004880926566335296
ADD1,0.0018782749271893425
ADD3,0.00262613802748692
ADGRA2,0.00045554871064679923
ADGRD1,0.0006871211431892035
ADGRE5,0.0018126993305025247
ADGRG1,0.005247555657933524
ADGRG3,0.0005941398436716252
ADGRL2,0.007058830131700969
ADH1A,0.03635242336391385
ADH1B,0.036416511886569754
ADH1C,0.036139935831103726
ADH4,0.031856985081540536
ADH5,0.033153675603684686
ADH6,0.03310571588239598
ADI1,0.008771904912099386
ADIPOR1,0.003325435099359977
ADIPOR2,0.00892850304728645
ADK,0.01872702843784675
ADM,0.002024028321774745
ADM2,0.0014261587770383706
ADNP,0.00019619275221508146
ADO,0.0032848978641961094
ADORA2A,0.00464785822736619
ADPGK,0.018994817478972695
ADPRM,0.00633800066559517
ADRA1A,0.007918683685237704
ADRA1B,0.007670581223822681
ADRA2B,0.006187599316403759
ADRB2,0.007682635683379319
ADRM1,0.006172843509575783
ADSL,0.02354281571932863
AEBP2,0.0035641404168852476
AFDN,0.0101544335097492
AFF1,0.0034025765876503256
AFF4,0.003017343198438966
AFG3L2,0.0011293079542520547
AFMID,0.014594027820395948
AFP,0.0317439183046036
AFTPH,0.010316031089095146
AGAP1,0.0002856831988412182
AGER,0.02235962288739039
AGFG1,0.0006456268645432933
AGK,0.028720265725200964
AGL,0.005863816541666747
AGMAT,0.011211692180154189
AGMO,0.0009422686647547652
AGO1,0.004672796781006396
AGO2,0.009855121272550888
AGO3,0.0013736974366816792
AGO4,0.0014246111569529401
AGPAT1,0.008686985554725845
AGPAT2,0.011437203348537761
AGPAT3,0.00740870924076978
AGPAT5,0.005595992708279728
AGPS,0.002661721482150039
AGRN,0.01205299640002691
AGT,0.029633503585773265
AGTR1,0.023992730799083754
AGTRAP,0.0018968301191509005
AGXT,0.048914986783762146
AGXT2,0.06013989832918651
