gene_name,disease
TP53,cancer
KRAS,cancer
PIK3CA,cancer
PTEN,cancer
APC,cancer
EGFR,cancer
BRAF,cancer
RB1,cancer
MYC,cancer
ATM,cancer
VHL,cancer
NF1,cancer
NRAS,cancer
CTNNB1,cancer
SMAD4,cancer
FBXW7,cancer
NOTCH1,cancer
IDH1,cancer
JAK2,cancer
MET,cancer
FGFR1,cancer
FGFR2,cancer
FGFR3,cancer
ERBB2,cancer
CDK4,cancer
CDK6,cancer
CCND1,cancer
MDM2,cancer
BCL6,cancer
EZH2,cancer
DNMT3A,cancer
TET2,cancer
ASXL1,cancer
SF3B1,cancer
SRSF2,cancer
NPM1,cancer
RUNX1,cancer
CEBPA,cancer
KMT2A,cancer
NSD1,cancer
