molecule_name,bsep_ic50_uM,chembl_id,smiles,bsep_class,bsep_inhibitor
(RS)-ROSCOVITINE,7.94328,CHEMBL52387,CCC(CO)Nc1nc(NCc2ccccc2)c2ncn(C(C)C)c2n1,potent_inhibitor,1
AFATINIB,10.0,CHEMBL1173655,CN(C)C/C=C/C(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1O[C@H]1CCOC1,moderate_inhibitor,1
ALISERTIB,7.94328,CHEMBL483158,COc1cc(Nc2ncc3c(n2)-c2ccc(Cl)cc2C(c2c(F)cccc2OC)=NC3)ccc1C(=O)O,potent_inhibitor,1
ALVOCIDIB,0.6,CHEMBL428690,CN1CC[C@H](c2c(O)cc(O)c3c(=O)cc(-c4ccccc4Cl)oc23)[C@H](O)C1,potent_inhibitor,1
AST-487,10.0,CHEMBL574738,CCN1CCN(Cc2ccc(NC(=O)Nc3ccc(Oc4cc(NC)ncn4)cc3)cc2C(F)(F)F)CC1,moderate_inhibitor,1
AT-7519,10.0,CHEMBL445813,O=C(NC1CCNCC1)c1n[nH]cc1NC(=O)c1c(Cl)cccc1Cl,moderate_inhibitor,1
AXITINIB,10.0,CHEMBL1289926,CNC(=O)c1ccccc1Sc1ccc2c(/C=C/c3ccccn3)n[nH]c2c1,moderate_inhibitor,1
AZD-1080,3.9810700000000003,CHEMBL1969664,N#Cc1ccc2[nH]c(O)c(-c3ccc(CN4CCOCC4)cn3)c2c1,potent_inhibitor,1
BAY-549,7.94328,CHEMBL1971943,Cc1c[nH]c2nccc(Oc3c(F)cc(Nc4cc(Cl)nc(N)n4)cc3F)c12,potent_inhibitor,1
BELUMOSUDIL,7.94328,CHEMBL2005186,CC(C)NC(=O)COc1cccc(-c2nc(Nc3ccc4[nH]ncc4c3)c3ccccc3n2)c1,potent_inhibitor,1
BI-2536,10.0,CHEMBL513909,CC[C@@H]1C(=O)N(C)c2cnc(Nc3ccc(C(=O)NC4CCN(C)CC4)cc3OC)nc2N1C1CCCC1,moderate_inhibitor,1
BMS-345541,10.0,CHEMBL249697,Cc1ccc2nc(NCCN)c3ncc(C)n3c2c1,moderate_inhibitor,1
BMS-387032,10.0,CHEMBL296468,CC(C)(C)c1cnc(CSc2cnc(NC(=O)C3CCNCC3)s2)o1,moderate_inhibitor,1
BOSUTINIB,10.0,CHEMBL288441,COc1cc(Nc2c(C#N)cnc3cc(OCCCN4CCN(C)CC4)c(OC)cc23)c(Cl)cc1Cl,moderate_inhibitor,1
BRIVANIB,10.0,CHEMBL377300,Cc1cc2c(F)c(Oc3ncnn4cc(OC[C@@H](C)O)c(C)c34)ccc2[nH]1,moderate_inhibitor,1
CANERTINIB,10.0,CHEMBL31965,C=CC(=O)Nc1cc2c(Nc3ccc(F)c(Cl)c3)ncnc2cc1OCCCN1CCOCC1,moderate_inhibitor,1
CEDIRANIB,7.94328,CHEMBL491473,COc1cc2c(Oc3ccc4[nH]c(C)cc4c3F)ncnc2cc1OCCCN1CCCC1,potent_inhibitor,1
CENISERTIB,5.01187,CHEMBL1967878,Cc1cc(Nc2ncc(F)c(NC3C4C=CC(C4)C3C(N)=O)n2)ccc1N1CCN(C)CC1,potent_inhibitor,1
CGP-52421,2.0,CHEMBL1240703,CO[C@@H]1[C@H](N(C)C(=O)c2ccccc2)C[C@H]2O[C@]1(C)n1c3ccccc3c3c4c(c5c6ccccc6n2c5c31)C(=O)N[C@H]4O,potent_inhibitor,1
CI-1040,10.0,CHEMBL105442,O=C(NOCC1CC1)c1ccc(F)c(F)c1Nc1ccc(I)cc1Cl,moderate_inhibitor,1
COBIMETINIB,10.0,CHEMBL2146883,O=C(c1ccc(F)c(F)c1Nc1ccc(I)cc1F)N1CC(O)([C@@H]2CCCCN2)C1,moderate_inhibitor,1
CP-724714,10.0,CHEMBL483321,COCC(=O)NC/C=C/c1ccc2ncnc(Nc3ccc(Oc4ccc(C)nc4)c(C)c3)c2c1,moderate_inhibitor,1
CRIZOTINIB,10.0,CHEMBL601719,C[C@@H](Oc1cc(-c2cnn(C3CCNCC3)c2)cnc1N)c1c(Cl)ccc(F)c1Cl,moderate_inhibitor,1
CYC-116,7.94328,CHEMBL482967,Cc1nc(N)sc1-c1ccnc(Nc2ccc(N3CCOCC3)cc2)n1,potent_inhibitor,1
DAPOLSERTIB,0.003,CHEMBL4467168,CC(C)n1c(C2CCNCC2)nc2c([N+](=O)[O-])c(Br)c(Br)cc21,potent_inhibitor,1
DASATINIB,7.94328,CHEMBL5416410,Cc1nc(Nc2ncc(C(=O)Nc3c(C)cccc3Cl)s2)cc(N2CCN(CCO)CC2)n1.O,potent_inhibitor,1
DEFOSBARASERTIB,10.0,CHEMBL215152,CCN(CCO)CCCOc1ccc2c(Nc3cc(CC(=O)Nc4cccc(F)c4)[nH]n3)ncnc2c1,moderate_inhibitor,1
DIPHENYLUREA,79.43282,CHEMBL354676,O=C(Nc1ccccc1)Nc1ccccc1,weak_inhibitor,0
DORAMAPIMOD,10.0,CHEMBL103667,Cc1ccc(-n2nc(C(C)(C)C)cc2NC(=O)Nc2ccc(OCCN3CCOCC3)c3ccccc23)cc1,moderate_inhibitor,1
DOVITINIB,10.0,CHEMBL522892,CN1CCN(c2ccc3nc(-c4c(N)c5c(F)cccc5[nH]c4=O)[nH]c3c2)CC1,moderate_inhibitor,1
ENZASTAURIN,1.1,CHEMBL300138,Cn1cc(C2=C(c3cn(C4CCN(Cc5ccccn5)CC4)c4ccccc34)C(=O)NC2=O)c2ccccc21,potent_inhibitor,1
ERLOTINIB,7.94328,CHEMBL553,C#Cc1cccc(Nc2ncnc3cc(OCCOC)c(OCCOC)cc23)c1,potent_inhibitor,1
FEDRATINIB,10.0,CHEMBL1287853,Cc1cnc(Nc2ccc(OCCN3CCCC3)cc2)nc1Nc1cccc(S(=O)(=O)NC(C)(C)C)c1,moderate_inhibitor,1
FORETINIB,10.0,CHEMBL1230609,COc1cc2c(Oc3ccc(NC(=O)C4(C(=O)Nc5ccc(F)cc5)CC4)cc3F)ccnc2cc1OCCCN1CCOCC1,moderate_inhibitor,1
GEFITINIB,1.25893,CHEMBL939,COc1cc2ncnc(Nc3ccc(F)c(Cl)c3)c2cc1OCCCN1CCOCC1,potent_inhibitor,1
GSK-269962A,1.5848900000000001,CHEMBL220241,CCn1c(-c2nonc2N)nc2cnc(Oc3cccc(NC(=O)c4ccc(OCCN5CCOCC5)cc4)c3)cc21,potent_inhibitor,1
GSK-461364,1.1,CHEMBL1908394,C[C@@H](Oc1cc(-n2cnc3ccc(CN4CCN(C)CC4)cc32)sc1C(N)=O)c1ccccc1C(F)(F)F,potent_inhibitor,1
GSK-690693,0.75,CHEMBL494089,CCn1c(-c2nonc2N)nc2c(C#CC(C)(C)O)ncc(OC[C@H]3CCCNC3)c21,potent_inhibitor,1
GW305074X,0.1,CHEMBL1880739,O=C1Nc2ccc(I)cc2C1=Cc1cc(Br)c(O)c(Br)c1,potent_inhibitor,1
GW441756X,2.5118899999999997,CHEMBL1516890,Cn1cc(C=C2C(=O)Nc3cccnc32)c2ccccc21,potent_inhibitor,1
GW632580X,10.0,CHEMBL261849,COc1ccc(COc2ccc(Cc3cnc(N)nc3N)cc2OC)cc1,moderate_inhibitor,1
HARMINE,4.3,CHEMBL269538,COc1ccc2c(c1)[nH]c1c(C)nccc12,potent_inhibitor,1
