drugbank_id,drug_name,dilirank_name,n_targets_x,targets,match_score,ltkbid,category,dilirank,smiles,drug_name_lower,drug_name_pk,half_life_text,half_life_hours,half_life_bin,dose_mg,route,high_dose,clearance_text,Z,is_dili,I_T,n_targets_y
DB00013,Urokinase,Urokinase,6,"['PLG', 'PLAUR', 'SERPINE1', 'SERPINA5', 'ST14', 'NID1']",1.0,LT01229,DILI_negative,vNo-DILI-concern,CC(C)OC(=O)NC1=CC2=C(C=C1)N=C(N2)C3=CSC=N3,urokinase,Urokinase,,,unknown,,unknown,0.0,,2.592910904404679,0,0.6322728199789286,6
DB00013,Urokinase,Urokinase,6,"['PLG', 'PLAUR', 'SERPINE1', 'SERPINA5', 'ST14', 'NID1']",1.0,LT01229,DILI_negative,vNo-DILI-concern,CC(C)OC(=O)NC1=CC2=C(C=C1)N=C(N2)C3=CSC=N3,urokinase,Urokinase,Urokinase has a half life of 12.6±6.2 minutes.[L12138],0.1033333333333333,short,,iv,0.0,Data regarding the clearance of urokinase is not readily available.,2.592910904404679,0,0.6322728199789286,6
DB00013,Urokinase,Urokinase,6,"['PLG', 'PLAUR', 'SERPINE1', 'SERPINA5', 'ST14', 'NID1']",1.0,LT01229,DILI_negative,vNo-DILI-concern,CC(C)OC(=O)NC1=CC2=C(C=C1)N=C(N2)C3=CSC=N3,urokinase,Urokinase,,,unknown,,unknown,0.0,,2.592910904404679,0,0.6322728199789286,6
DB00091,Cyclosporine,Cyclosporine,4,"['CAMLG', 'PPP3CA', 'PPIA', 'PPIF']",1.0,LT00380,DILI_positive,vMost-DILI-concern,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,cyclosporine,Cyclosporine,"The half-life of cyclosporine is biphasic and very variable on different conditions but it is reported in general to last 19 hours.[A174088] Prescribing information also states a terminal half-life of approximately 19 hours, but with a range between 10 to 27 hours.[L3002]",27.0,long,1000000000.0,oral,1.0,"Cyclosporin shows a linear clearance profile that ranges from 0.38 to 3 Lxh/kg[A174088], however, there is substantial inter- patient variability.[A189402] A 250 mg dose of cyclosporine in the oral soft gelatin capsule of a lipid micro-emulsion formulation shows an approximate clearance of 22.5 L/h.[A189453]",-0.1562503914682074,1,0.0681930837491614,4
DB00115,Cyanocobalamin,Cyanocobalamin,5,"['MTR', 'MTRR', 'MMAA', 'MMACHC', 'MTHFR']",1.0,LT02002,DILI_negative,vNo-DILI-concern,CC1=CC2=C(C=C1C)[N+](=CN2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=N)[O-])N7)CCC(=N)[O-])(C)CC(=O)N)C)CCC(=N)[O-])(C)CC(=O)N)C)CC(=O)N)C)O.[C]#N.[Co+2],cyanocobalamin,Cyanocobalamin,Approximately 6 days (400 days in the liver) [F3739].,9600.0,long,10000000.0,oral,1.0,"During vitamin loading, the kidney accumulates large amounts of unbound vitamin B12. This drug is cleared partially by the kidney, however, multiligand receptor _megalin_ promotes the reuptake and reabsorption of vitamin B12 into the body [A175267], [A175270].",0.441946121561886,0,0.2631598795247906,5
DB00118,Ademetionine,Methionine,5,"['COMT', 'GNMT', 'MAT2A', 'CBS', 'MAT1A']",0.8181818181818182,LT01468,DILI_negative,vNo-DILI-concern,CSCCC(C(=O)O)N,ademetionine,Ademetionine,,,unknown,,unknown,0.0,,-0.7455050879568167,0,0.1537443667011179,5
DB00118,Ademetionine,Methionine,5,"['COMT', 'GNMT', 'MAT2A', 'CBS', 'MAT1A']",0.8181818181818182,LT01468,DILI_negative,vNo-DILI-concern,CSCCC(C(=O)O)N,ademetionine,Ademetionine,,,unknown,,unknown,0.0,,-0.7455050879568167,0,0.1537443667011179,5
DB00118,Ademetionine,Methionine,5,"['COMT', 'GNMT', 'MAT2A', 'CBS', 'MAT1A']",0.8181818181818182,LT01468,DILI_negative,vNo-DILI-concern,CSCCC(C(=O)O)N,ademetionine,Ademetionine,,,unknown,,unknown,0.0,,-0.7455050879568167,0,0.1537443667011179,5
DB00118,Ademetionine,Methionine,5,"['COMT', 'GNMT', 'MAT2A', 'CBS', 'MAT1A']",0.8181818181818182,LT01468,DILI_negative,vNo-DILI-concern,CSCCC(C(=O)O)N,ademetionine,Ademetionine,,,unknown,,unknown,0.0,,-0.7455050879568167,0,0.1537443667011179,5
DB00118,Ademetionine,Methionine,5,"['COMT', 'GNMT', 'MAT2A', 'CBS', 'MAT1A']",0.8181818181818182,LT01468,DILI_negative,vNo-DILI-concern,CSCCC(C(=O)O)N,ademetionine,Ademetionine,,,unknown,,unknown,0.0,,-0.7455050879568167,0,0.1537443667011179,5
