drugbank_id,drug_name,drug_type,gene_symbol,actions,in_liver_lcc
DB00001,Lepirudin,biotech,F2,inhibitor,True
DB00002,Cetuximab,biotech,EGFR,binder,True
DB00002,Cetuximab,biotech,FCGR3B,binder,True
DB00002,Cetuximab,biotech,C1QA,binder,True
DB00002,Cetuximab,biotech,C1QB,binder,True
DB00002,Cetuximab,biotech,C1QC,binder,True
DB00002,Cetuximab,biotech,FCGR3A,binder,True
DB00002,Cetuximab,biotech,FCGR2A,binder,True
DB00004,Denileukin diftitox,biotech,IL2RB,ligand,True
DB00005,Etanercept,biotech,FCGR2A,ligand,True
DB00005,Etanercept,biotech,FCGR2B,ligand,True
DB00005,Etanercept,biotech,FCGR3A,ligand,True
DB00005,Etanercept,biotech,FCGR3B,ligand,True
DB00005,Etanercept,biotech,C1QA,ligand,True
DB00006,Bivalirudin,small molecule,F2,inhibitor,True
DB00007,Leuprolide,biotech,GNRH1,activator,True
DB00008,Peginterferon alfa-2a,biotech,IFNAR2,agonist,True
DB00008,Peginterferon alfa-2a,biotech,IFNAR1,agonist,True
DB00009,Alteplase,biotech,PLG,activator,True
DB00009,Alteplase,biotech,FGA,binder,True
DB00009,Alteplase,biotech,FGG,binder,True
DB00009,Alteplase,biotech,SERPINE1,,True
DB00011,Interferon alfa-n1,biotech,IFNAR1,agonist,True
DB00011,Interferon alfa-n1,biotech,IFNAR2,agonist,True
DB00012,Darbepoetin alfa,biotech,EPOR,agonist,True
DB00013,Urokinase,biotech,PLG,activator,True
DB00013,Urokinase,biotech,PLAUR,inducer;modulator,True
DB00013,Urokinase,biotech,SERPINE1,substrate;inducer,True
DB00013,Urokinase,biotech,SERPINA5,substrate,True
DB00013,Urokinase,biotech,ST14,substrate,True
DB00013,Urokinase,biotech,NID1,ligand,True
DB00014,Goserelin,small molecule,GNRH1,activator,True
DB00015,Reteplase,biotech,PLG,activator,True
DB00015,Reteplase,biotech,FGA,,True
DB00015,Reteplase,biotech,SERPINE1,,True
DB00016,Erythropoietin,biotech,EPOR,agonist,True
DB00018,Interferon alfa-n3,biotech,IFNAR1,agonist,True
DB00018,Interferon alfa-n3,biotech,IFNAR2,agonist,True
DB00019,Pegfilgrastim,biotech,CSF3R,agonist,True
DB00020,Sargramostim,biotech,IL3RA,agonist,True
DB00020,Sargramostim,biotech,SDC2,agonist,True
DB00022,Peginterferon alfa-2b,biotech,IFNAR1,agonist,True
DB00022,Peginterferon alfa-2b,biotech,IFNAR2,agonist,True
DB00025,"Antihemophilic factor, human recombinant",biotech,F10,activator,True
DB00025,"Antihemophilic factor, human recombinant",biotech,F9,cofactor,True
DB00025,"Antihemophilic factor, human recombinant",biotech,VWF,binder,True
DB00025,"Antihemophilic factor, human recombinant",biotech,PHYH,antagonist,True
DB00025,"Antihemophilic factor, human recombinant",biotech,HSPA5,chaperone,True
DB00025,"Antihemophilic factor, human recombinant",biotech,CALR,chaperone,True
DB00025,"Antihemophilic factor, human recombinant",biotech,CANX,chaperone,True
DB00025,"Antihemophilic factor, human recombinant",biotech,LMAN1,chaperone,True
DB00025,"Antihemophilic factor, human recombinant",biotech,LRP1,modulator,True
