drugbank_id,drug_name,targets,n_targets,name_normalized,dili_label,is_dili
DB00002,Cetuximab,"['EGFR', 'FCGR3B', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR2A']",7,cetuximab,,
DB00005,Etanercept,"['FCGR2A', 'FCGR2B', 'FCGR3A', 'FCGR3B', 'C1QA']",5,etanercept,Most-DILI,1.0
DB00009,Alteplase,"['PLG', 'FGA', 'FGG', 'SERPINE1']",4,alteplase,,
DB00013,Urokinase,"['PLG', 'PLAUR', 'SERPINE1', 'SERPINA5', 'ST14', 'NID1']",6,urokinase,,
DB00015,Reteplase,"['PLG', 'FGA', 'SERPINE1']",3,reteplase,,
DB00025,"Antihemophilic factor, human recombinant","['F10', 'F9', 'VWF', 'PHYH', 'HSPA5', 'CALR', 'CANX', 'LMAN1', 'LRP1', 'MCFD2']",10,antihemophilicfactorhumanrecombinant,,
DB00028,Human immunoglobulin G,"['FCGR2A', 'FCGR2B', 'FCGR3A', 'FCGR3B', 'C3', 'C4A', 'C4B', 'C5']",8,humanimmunoglobuling,,
DB00029,Anistreplase,"['PLG', 'FGA', 'SERPINE1']",3,anistreplase,,
DB00030,Insulin human,"['INSR', 'CPE', 'IGFBP7']",3,insulinhuman,,
DB00039,Palifermin,"['FGFR2', 'FGFR1', 'HSPG2']",3,palifermin,,
DB00054,Abciximab,"['FCGR2A', 'FCGR2B', 'VTN']",3,abciximab,,
DB00055,Drotrecogin alfa,"['F8', 'F5', 'SERPINE1', 'THBD', 'PROS1', 'F2', 'SERPINA5', 'SERPINB6', 'PROCR']",9,drotrecoginalfa,,
DB00075,Muromonab,"['CD3D', 'CD3E', 'CD247', 'FCGR3B']",4,muromonab,,
DB00087,Alemtuzumab,"['CD52', 'FCGR3B', 'FCGR3A', 'FCGR2A', 'FCGR2B']",5,alemtuzumab,,
DB00091,Cyclosporine,"['CAMLG', 'PPP3CA', 'PPIA', 'PPIF']",4,cyclosporine,,
DB00092,Alefacept,"['CD2', 'FCGR3A', 'FCGR3B']",3,alefacept,,
DB00098,Antithymocyte immunoglobulin (rabbit),"['MR1', 'ITGAL', 'FCGR2B', 'CD4', 'ITGB1', 'ITGAV']",6,antithymocyteimmunoglobulinrabbit,,
DB00100,Coagulation Factor IX (Recombinant),"['F10', 'F11', 'F7', 'F8', 'F2', 'LRP1', 'GGCX']",7,coagulationfactorixrecombinant,,
DB00102,Becaplermin,"['PDGFRB', 'PDGFRA', 'A2M']",3,becaplermin,,
DB00110,Palivizumab,"['FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR2B']",7,palivizumab,,
DB00111,Daclizumab,"['IL2RB', 'FCGR3B', 'C1R', 'C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR2A', 'FCGR2B']",9,daclizumab,,
DB00112,Bevacizumab,"['C1QA', 'C1QB', 'C1QC', 'FCGR3A', 'FCGR2A', 'FCGR2B']",6,bevacizumab,,
DB00114,Pyridoxal phosphate,"['ABAT', 'F2', 'AGXT2', 'CBS', 'KYNU', 'SHMT1', 'NFS1', 'GOT1', 'OAT', 'ODC1', 'AADAT', 'PNPO', 'SGPL1', 'TAT', 'KYAT1', 'PYGL', 'SPTLC2', 'CSAD', 'SDS', 'GLDC', 'GPT', 'PSAT1', 'ALAS1', 'AGXT', 'PDXP', 'SPTLC1', 'CTH', 'BCAT2', 'GOT2', 'PYGB', 'DDC', 'KYAT3', 'SCLY', 'PHYKPL', 'SHMT2', 'GPT2', 'MOCOS', 'SDSL', 'SRR', 'SEPSECS', 'SPTLC3', 'GOT1']",42,pyridoxalphosphate,,
DB00115,Cyanocobalamin,"['MTR', 'MTRR', 'MMAA', 'MMACHC', 'MTHFR']",5,cyanocobalamin,,
DB00116,Tetrahydrofolic acid,"['MTHFD1', 'MTHFD2', 'AMT', 'ALDH1L1', 'MTR', 'FTCD', 'ATIC', 'SHMT1', 'SHMT2', 'MTHFR', 'MTFMT']",11,tetrahydrofolicacid,,
DB00118,Ademetionine,"['COMT', 'GNMT', 'MAT2A', 'CBS', 'MAT1A']",5,ademetionine,,
DB00119,Pyruvic acid,"['ABAT', 'SLC16A3', 'AGXT2', 'PKLR', 'SLC16A7', 'PDHB', 'PKM', 'SLC16A4', 'SLC16A1', 'PC']",10,pyruvicacid,,
DB00120,Phenylalanine,"['TAT', 'SLC7A8', 'FARSA', 'PAH', 'FARS2', 'FARSB']",6,phenylalanine,,
DB00121,Biotin,"['PCCB', 'HLCS', 'MCCC2', 'ACACB', 'MCCC1', 'PC', 'PCCA', 'ACACA']",8,biotin,,
DB00122,Choline,"['ACHE', 'PCYT1A', 'PLD2', 'BCHE', 'PLD1']",5,choline,,
DB00125,Arginine,"['ASL', 'ASS1', 'NOS3']",3,arginine,,
DB00126,Ascorbic acid,"['PLOD2', 'PHYH', 'PLOD3', 'BBOX1', 'DBH', 'PAM', 'P3H1', 'P3H3', 'P4HA1', 'ALKBH2', 'ALKBH3', 'KDM5D', 'PLOD1', 'EGLN1', 'EGLN2']",15,ascorbicacid,,
DB00127,Spermine,"['SMS', 'ODC1', 'ADRB2']",3,spermine,,
DB00128,Aspartic acid,"['SLC25A13', 'GOT1', 'ASPA', 'ASNS', 'ASS1', 'ACY1', 'GOT2', 'SLC25A12', 'ASPH', 'PAICS', 'DARS2', 'ASRGL1', 'RNASE1']",13,asparticacid,,
DB00129,Ornithine,"['OAT', 'OTC', 'ARG1', 'OAZ1', 'SLC25A15', 'GATM']",6,ornithine,,
DB00130,L-Glutamine,"['CTPS1', 'PPAT', 'GLUL']",3,lglutamine,,
DB00131,Adenosine phosphate,"['PRKAA1', 'ADK', 'PRKAB1', 'ACSS2', 'PRKAA1', 'ADCY1', 'ACSL1', 'CREB1', 'PDE4B', 'PYGL', 'FBP1']",11,adenosinephosphate,,
DB00132,alpha-Linolenic acid,"['PTGS2', 'FADS1', 'FADS2', 'TRPV1', 'PPARA', 'NR1H4', 'PPARD', 'PPARG', 'RXRA', 'ELOVL2']",10,alphalinolenicacid,,
DB00133,Serine,"['CBS', 'SDS', 'SRR', 'SPTLC2', 'SPTLC1', 'AGXT']",6,serine,,
DB00134,Methionine,"['MTRR', 'MTR', 'METAP2', 'BHMT', 'BHMT2']",5,methionine,,
DB00141,N-Acetylglucosamine,"['B4GALT1', 'B4GALT4', 'NAGK', 'NAGLU', 'RENBP']",5,nacetylglucosamine,,
DB00142,Glutamic acid,"['OPLAH', 'PFAS', 'BCAT2', 'GLS', 'GOT2', 'ASNS', 'GLUL', 'GOT1', 'TAT', 'GPT', 'GGCX', 'GCLC', 'GLUD2', 'GMPS', 'ABAT', 'FPGS', 'ENPEP', 'EARS2', 'NADSYN1', 'NAGS', 'AADAT', 'GPT2', 'AASS', 'GLS2', 'PSAT1', 'GLUD1', 'GCLM', 'FOLH1', 'FTCD', 'ALDH18A1', 'GOT1']",31,glutamicacid,,
DB00143,Glutathione,"['AKR1B1', 'MMP9', 'CYP3A4', 'GSR', 'GSS', 'GSTM1', 'GSTM3', 'GSTA4', 'GSTM4', 'GSTP1', 'GSTO1', 'GPX2', 'GSTZ1', 'GPX3', 'GLO1', 'MGST3', 'GSTA1', 'GSTA2', 'MGST1', 'ESD', 'GGT1', 'GSTM2', 'GLRX', 'GPX4', 'HAGH', 'GPX7', 'MGST2']",27,glutathione,,
DB00144,Phosphatidyl serine,"['PISD', 'SCARB1', 'PRKCA', 'PTDSS1', 'PTDSS2', 'SMPD4', 'SMPD3']",7,phosphatidylserine,,
DB00145,Glycine,"['ALAS1', 'BAAT', 'GSS', 'SHMT2', 'GLYATL1', 'AGXT2', 'PIPOX', 'AGXT', 'SHMT1', 'GNMT', 'GATM']",11,glycine,,
DB00148,Creatine,"['CKM', 'CKB', 'SLC6A8', 'GAMT']",4,creatine,,
DB00149,Leucine,"['LARS2', 'LCMT2', 'LCMT1', 'BCAT2']",4,leucine,,
DB00151,Cysteine,"['GCLM', 'GCLC', 'GOT1', 'GOT2', 'CTH', 'CBS', 'MGMT', 'GSS', 'CARS2', 'CSAD', 'NFS1', 'CDO1']",12,cysteine,,
DB00155,Citrulline,"['NOS3', 'ASS1', 'OTC']",3,citrulline,,
