bin,predicted,observed,gap
1,0.050326089440751426,0.0,0.050326089440751426
2,0.1689433988947549,0.0,0.1689433988947549
3,0.23889594726376542,0.0,0.23889594726376542
4,0.34569257931948055,0.2,0.14569257931948054
5,0.4429917192252111,0.23076923076923078,0.2122224884559803
6,0.5432655860443809,0.4583333333333333,0.0849322527110476
7,0.6517775466231817,0.68,0.02822245337681839
8,0.753100837679465,0.8444444444444444,0.09134360676497943
9,0.8476618355148208,0.9166666666666666,0.06900483115184586
10,0.9294339484811461,1.0,0.07056605151885387
