drugbank_id,drug_name,dilirank_name,n_targets,dilirank,is_dili,Z,I_T,mu_T,pool_size,smiles,targets,target_list,logp,mw,hbd,hba,tpsa,rotatable,k,n_dili_hits,n_cyp_hits,n_tf_hits,n_transporter_hits,n_network_hits,network_fraction,dili_fraction,has_network_targets,has_transporter_targets,high_logp,ecnp_z,ecnp_eligible,y_pred_full,n_alerts,alert_names,y_pred_updated,y_pred_ecfp,y_pred_combined,drug_name_lower,livertox_cat,livertox_dili,has_livertox,consensus,final_label,y_pred,pred_binary,correct,fn,fp
DB00013,Urokinase,Urokinase,6,vNo-DILI-concern,0,2.592910904404679,0.6322728199789286,0.3512386752037297,572,CC(C)OC(=O)NC1=CC2=C(C=C1)N=C(N2)C3=CSC=N3,"['PLG', 'PLAUR', 'SERPINE1', 'SERPINA5', 'ST14', 'NID1']","['PLG', 'PLAUR', 'SERPINE1', 'SERPINA5', 'ST14', 'NID1']",3.6433000000000018,302.35900000000004,2.0,5.0,79.89999999999999,3.0,6,1,0,0,0,1,0.1666666666666666,0.1666666666666666,1,0,1,2.592910904404679,1,0.98459125,3,"aniline,carboxylic_acid,benzimidazole",0.9926872,0.7196965715530328,0.6998364416514875,urokinase,E,0.0,True,True,0,0.7781547571977686,1,False,False,True
DB00091,Cyclosporine,Cyclosporine,4,vMost-DILI-concern,1,-0.1562503914682074,0.0681930837491614,0.0812170384617603,680,CCC1C(=O)N(CC(=O)N(C(C(=O)NC(C(=O)N(C(C(=O)NC(C(=O)NC(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N(C(C(=O)N1)C(C(C)CC=CC)O)C)C(C)C)C)CC(C)C)C)CC(C)C)C)C)C)CC(C)C)C)C(C)C)CC(C)C)C)C,"['CAMLG', 'PPP3CA', 'PPIA', 'PPIF']","['CAMLG', 'PPP3CA', 'PPIA', 'PPIF']",3.2690000000000063,1202.6349999999982,5.0,12.0,278.8,15.0,4,0,0,0,0,0,0.0,0.0,0,0,1,-0.1562503914682074,0,0.26878124,20,lipophilic_amine,0.446072,0.4752143767574129,0.3339779831086492,cyclosporine,B,1.0,True,True,1,0.14115442832810068,0,False,True,False
DB00115,Cyanocobalamin,Cyanocobalamin,5,vNo-DILI-concern,0,0.441946121561886,0.2631598795247906,0.200445010487839,752,CC1=CC2=C(C=C1C)[N+](=CN2)C3C(C(C(O3)CO)OP(=O)(O)OC(C)CNC(=O)CCC4(C(C5C6(C(C(C(=N6)C(=C7C(C(C(=CC8=NC(=C(C4=N5)C)C(C8(C)C)CCC(=N)[O-])N7)CCC(=N)[O-])(C)CC(=O)N)C)CCC(=N)[O-])(C)CC(=O)N)C)CC(=O)N)C)O.[C]#N.[Co+2],"['MTR', 'MTRR', 'MMAA', 'MMACHC', 'MTHFR']","['MTR', 'MTRR', 'MMAA', 'MMACHC', 'MTHFR']",2.2330200000000056,1355.3879999999997,12.0,21.0,497.12,26.0,5,1,0,0,0,1,0.2,0.2,1,0,0,0.441946121561886,1,0.8943951,32,"lipophilic_amine,benzimidazole",0.66320986,0.5232527167262698,0.4793932030057102,cyanocobalamin,,,False,,0,0.40503200781995724,0,True,False,False
DB00118,Ademetionine,Methionine,5,vNo-DILI-concern,0,-0.7455050879568167,0.1537443667011179,0.2366018404066556,687,CSCCC(C(=O)O)N,"['COMT', 'GNMT', 'MAT2A', 'CBS', 'MAT1A']","['COMT', 'GNMT', 'MAT2A', 'CBS', 'MAT1A']",0.1514,149.215,2.0,3.0,63.31999999999999,4.0,5,0,0,0,0,0,0.0,0.0,0,0,0,-0.7455050879568167,0,0.065387264,1,carboxylic_acid,0.07869889,0.4621340427263486,0.3974869928622823,ademetionine,,,False,,0,0.3101024232688002,0,True,False,False
DB00122,Choline,Choline c-11,5,vNo-DILI-concern,0,0.6616457078715641,0.2164306766200323,0.1452651662851836,660,C[N+](C)(C)CCO,"['ACHE', 'PCYT1A', 'PLD2', 'BCHE', 'PLD1']","['ACHE', 'PCYT1A', 'PLD2', 'BCHE', 'PLD1']",-0.3150999999999999,104.173,1.0,1.0,20.23,2.0,5,0,0,0,0,0,0.0,0.0,0,0,0,0.6616457078715641,0,0.4220832,0,,0.6401616,0.5670244861813315,0.6972365427985655,choline,E,0.0,True,True,0,0.6431802785475343,1,False,False,True
DB00125,Arginine,Arginine hydrochloride,3,vNo-DILI-concern,0,-0.1964392146564791,0.0738641607480972,0.1007361504939913,514,C(CC(C(=O)O)N)CN=C(N)N.Cl,"['ASL', 'ASS1', 'NOS3']","['ASL', 'ASS1', 'NOS3']",-1.1262999999999996,210.665,4.0,3.0,127.71999999999998,5.0,3,0,0,0,0,0,0.0,0.0,0,0,0,-0.1964392146564791,0,0.031773787,3,"carboxylic_acid,lipophilic_amine",0.02614169,0.3957798640767792,0.3983936270623597,arginine,,,False,,0,0.2760146785513056,0,True,False,False
DB00131,Adenosine phosphate,Adenosine,11,vNo-DILI-concern,0,-0.7994249701482159,0.1734557274501131,0.2436313693350927,1236,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,"['PRKAA1', 'ADK', 'PRKAB1', 'ACSS2', 'PRKAA1', 'ADCY1', 'ACSL1', 'CREB1', 'PDE4B', 'PYGL', 'FBP1']","['PRKAA1', 'ADK', 'PRKAB1', 'ACSS2', 'PRKAA1', 'ADCY1', 'ACSL1', 'CREB1', 'PDE4B', 'PYGL', 'FBP1']",-1.979999999999999,267.245,4.0,9.0,139.54000000000002,2.0,11,0,0,0,0,0,0.0,0.0,0,0,0,-0.7994249701482159,0,0.027764136,0,,0.05288288,0.3475186442180357,0.2172324922507514,adenosine phosphate,,,False,,0,0.17416312811301413,0,True,False,False
DB00133,Serine,Reserpine,6,vNo-DILI-concern,0,-0.4972011802382858,0.1309075050598594,0.1767925236294559,560,COC1C(CC2CN3CCC4=C(C3CC2C1C(=O)OC)NC5=C4C=CC(=C5)OC)OC(=O)C6=CC(=C(C(=C6)OC)OC)OC,"['CBS', 'SDS', 'SRR', 'SPTLC2', 'SPTLC1', 'AGXT']","['CBS', 'SDS', 'SRR', 'SPTLC2', 'SPTLC1', 'AGXT']",4.171100000000004,608.6880000000003,1.0,10.0,117.78000000000002,8.0,6,0,0,0,0,0,0.0,0.0,0,0,1,-0.4972011802382858,0,0.9914609,9,"catechol,carboxylic_acid,lipophilic_amine",0.9966695,0.598909120317106,0.6764925776615979,serine,,,False,,0,0.6166731820814957,1,False,False,True
DB00134,Methionine,Methionine,5,vNo-DILI-concern,0,-0.5513727193331183,0.1216399256177453,0.1827353451879002,751,CSCCC(C(=O)O)N,"['MTRR', 'MTR', 'METAP2', 'BHMT', 'BHMT2']","['MTRR', 'MTR', 'METAP2', 'BHMT', 'BHMT2']",0.1514,149.215,2.0,3.0,63.31999999999999,4.0,5,0,0,0,0,0,0.0,0.0,0,0,0,-0.5513727193331183,0,0.06509931,1,carboxylic_acid,0.07830748,0.3460135333397505,0.3149216695958514,methionine,,,False,,0,0.2819496738187709,0,True,False,False
DB00142,Glutamic acid,Carglumic acid,31,vNo-DILI-concern,0,3.2202157531822104,1.217663073735609,0.94924415462782,1967,C(CC(=O)O)C(C(=O)O)NC(=O)N,"['OPLAH', 'PFAS', 'BCAT2', 'GLS', 'GOT2', 'ASNS', 'GLUL', 'GOT1', 'TAT', 'GPT', 'GGCX', 'GCLC', 'GLUD2', 'GMPS', 'ABAT', 'FPGS', 'ENPEP', 'EARS2', 'NADSYN1', 'NAGS', 'AADAT', 'GPT2', 'AASS', 'GLS2', 'PSAT1', 'GLUD1', 'GCLM', 'FOLH1', 'FTCD', 'ALDH18A1', 'GOT1']","['OPLAH', 'PFAS', 'BCAT2', 'GLS', 'GOT2', 'ASNS', 'GLUL', 'GOT1', 'TAT', 'GPT', 'GGCX', 'GCLC', 'GLUD2', 'GMPS', 'ABAT', 'FPGS', 'ENPEP', 'EARS2', 'NADSYN1', 'NAGS', 'AADAT', 'GPT2', 'AASS', 'GLS2', 'PSAT1', 'GLUD1', 'GCLM', 'FOLH1', 'FTCD', 'ALDH18A1', 'GOT1']",-1.0272999999999997,190.155,4.0,3.0,129.72,5.0,31,2,0,0,0,2,0.064516129032258,0.064516129032258,1,0,0,3.2202157531822104,1,0.8185097,3,"carboxylic_acid,lipophilic_amine",0.8175151,0.3750358484036211,0.455369714631381,glutamic acid,,,False,,0,0.26796272065721577,0,True,False,False
