dilirank_name,is_dili,n_targets_uniprot,n_targets_mapped,ecnp_z,ecnp_mu_T,ecnp_sigma_T,pool_size,I_T,k,drugbank_id,smiles
Abacavir sulfate,0,2,2,,0.0,0.0,0,0.0,0,DB01048,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.OS(=O)(=O)O
Abaloparatide,0,1,1,-0.11350286567781734,0.012731983204423649,0.0023468892549239704,196,0.0124656045485613,1,DB05084,CCC(C)C(C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CC1=CN=CN1)C(=O)NC(C(C)O)C(=O)NC(C)C(=O)N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(CC2=CN=CN2)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)N)NC(=O)C(CC3=CN=CN3)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(C)N
Abemaciclib,1,2,2,-0.0017083736708927743,0.015703861213495166,0.1387762948126967,276,0.015466779445293101,2,DB12001,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F
Abiraterone acetate,1,1,1,-0.22434099216654668,0.07237506297037302,0.06248633470606492,108,0.0583568166455635,1,DB05812,CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CC=C4C5=CN=CC=C5)C)C
Acarbose,1,4,4,-0.4113105601126696,0.03635554739155336,0.04163197420642981,135,0.0192318767621105,1,DB00284,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO
Acebutolol hydrochloride,1,2,2,0.013111658454856514,0.00980896800276412,0.0012417764770671757,226,0.0098252497518087,1,DB01193,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C.Cl
Aceclofenac,1,2,2,2.5383099739807014,0.07734422894122142,0.06548941841344119,168,0.2435766728902546,1,DB06736,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl
Acetaminophen,1,6,6,1.7749900817249535,0.12810580983712266,0.08658470125668682,470,0.2817927957968599,3,DB00316,CC(=O)NC1=CC=C(C=C1)O
Acetazolamide,1,8,8,0.0008268407568156097,0.020470146279754336,0.13539473806892638,356,0.020582096167448098,2,DB00819,CC(=O)NC1=NN=C(S1)S(=O)(=O)N
Acetylcysteine,0,10,10,-0.9369642051536672,0.2507063349790538,0.0716204173543142,210,0.1836005675598949,4,DB06151,CC(=O)NC(CS)C(=O)O
Acitretin,1,8,8,0.9040362861822998,0.4292177074300475,0.09547957447481352,873,0.5155347073445242,7,DB00459,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC
Acyclovir,1,2,0,,0.0,0.0,0,0.0,0,DB00787,C1=NC2=C(N1COCCO)N=C(NC2=O)N
Adefovir dipivoxil,1,1,1,,0.0,0.0,0,0.0,0,DB00718,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C
Adenosine,0,4,4,-0.13984752067468,0.012848974552764098,0.0023318209191622694,235,0.0125228751785619,1,DB00640,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N
Albendazole,1,4,3,0.0017205218112170309,0.011497773930220816,0.13939620817432946,281,0.0117376081467857,2,DB00518,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC
Albuterol,0,3,3,0.013111658454856514,0.00980896800276412,0.0012417764770671757,226,0.0098252497518087,1,DB01001,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O
