dilirank_name,norm_name,is_dili
Abacavir sulfate,abacavir,0
Abaloparatide,abaloparatide,0
Abatacept,abatacept,1
Abciximab,abciximab,0
Abemaciclib,abemaciclib,1
Abiraterone acetate,abiraterone,1
Acamprosate calcium,acamprosate calcium,1
Acarbose,acarbose,1
Acebutolol hydrochloride,acebutolol,1
Aceclofenac,aceclofenac,1
Acetazolamide,acetazolamide,1
Acetylcholine chloride,acetylcholine,0
Acyclovir,acyclovir,1
Adalimumab,adalimumab,1
Adefovir dipivoxil,adefovir dipivoxil,1
Agalsidase beta,agalsidase beta,0
Alaproclate,alaproclate,1
Alatrofloxacin mesylate,alatrofloxacin,1
Albendazole,albendazole,1
Albuterol,albuterol,0
Alclofenac,alclofenac,1
Alemtuzumab,alemtuzumab,1
Alendronate sodium,alendronate,1
Alfentanil hydrochloride,alfentanil,0
Alglucosidase alfa,alglucosidase alfa,0
Aliskiren hemifumarate,aliskiren hemifumarate,1
Allopurinol,allopurinol,1
Almotriptan malate,almotriptan malate,0
Alosetron hydrochloride,alosetron,1
Alpelisib,alpelisib,1
Alpidem,alpidem,1
Alprazolam,alprazolam,1
Alteplase,alteplase,0
Alvimopan,alvimopan,0
Ambenonium chloride,ambenonium,0
Amifampridine,amifampridine,0
Amifostine,amifostine,0
Amikacin sulfate,amikacin,0
Amineptine,amineptine,1
Aminocaproic acid,aminocaproic acid,0
Aminohippurate sodium,aminohippurate,0
Aminophylline,aminophylline,0
Amisulpride,amisulpride,1
Amlodipine besylate,amlodipine besylate,1
Ammonium chloride,ammonium,0
Amoxicillin,amoxicillin,1
Amphotericin B,amphotericin b,1
Ampicillin sodium,ampicillin,1
Anakinra,anakinra,1
Anastrozole,anastrozole,1
Angiotensin ii acetate,angiotensin ii,0
Anidulafungin,anidulafungin,1
Apalutamide,apalutamide,0
Apixaban,apixaban,1
Aplaviroc,aplaviroc,1
Apomorphine hydrochloride,apomorphine,0
Apremilast,apremilast,0
Argatroban,argatroban,0
Argipressin,argipressin,0
Asparaginase,asparaginase,1
Aspirin,aspirin,1
