dilirank_name,smiles,is_dili,drugbank_id,targets,n_targets
Abacavir sulfate,C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.C1CC1NC2=C3C(=NC(=N2)N)N(C=N3)C4CC(C=C4)CO.OS(=O)(=O)O,0,DB01048,"['Q72547', 'P03366']",2
Abaloparatide,CCC(C)C(C(=O)NC(CCC(=O)N)C(=O)NC(CC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCCNC(=N)N)C(=O)NC(CCC(=O)O)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(CCC(=O)O)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CC(C)C)C(=O)NC(C)(C)C(=O)NC(CCCCN)C(=O)NC(CC(C)C)C(=O)NC(CC1=CN=CN1)C(=O)NC(C(C)O)C(=O)NC(C)C(=O)N)NC(=O)C(CO)NC(=O)C(CCCCN)NC(=O)CNC(=O)C(CCCCN)NC(=O)C(CC(=O)O)NC(=O)C(CC2=CN=CN2)NC(=O)C(CC(C)C)NC(=O)C(CC(C)C)NC(=O)C(CCC(=O)N)NC(=O)C(CC3=CN=CN3)NC(=O)C(CCC(=O)O)NC(=O)C(CO)NC(=O)C(C(C)C)NC(=O)C(C)N,0,DB05084,['Q03431'],1
Abemaciclib,CCN1CCN(CC1)CC2=CN=C(C=C2)NC3=NC=C(C(=N3)C4=CC5=C(C(=C4)F)N=C(N5C(C)C)C)F,1,DB12001,"['P11802', 'Q00534']",2
Abiraterone acetate,CC(=O)OC1CCC2(C3CCC4(C(C3CC=C2C1)CC=C4C5=CN=CC=C5)C)C,1,DB05812,['P05093'],1
Acarbose,CC1C(C(C(C(O1)OC2C(OC(C(C2O)O)OC(C(CO)O)C(C(C=O)O)O)CO)O)O)NC3C=C(C(C(C3O)O)O)CO,1,DB00284,"['O43451', 'P14410', 'P04746', 'P10253']",4
Acebutolol hydrochloride,CCCC(=O)NC1=CC(=C(C=C1)OCC(CNC(C)C)O)C(=O)C.Cl,1,DB01193,"['P08588', 'P07550']",2
Aceclofenac,C1=CC=C(C(=C1)CC(=O)OCC(=O)O)NC2=C(C=CC=C2Cl)Cl,1,DB06736,"['P35354', 'P23219']",2
Acetaminophen,CC(=O)NC1=CC=C(C=C1)O,1,DB00316,"['P35354', 'P31645', 'P23975', 'P23219', 'Q15185', 'Q8NER1']",6
Acetazolamide,CC(=O)NC1=NN=C(S1)S(=O)(=O)N,1,DB00819,"['P00915', 'P00918', 'P22748', 'O43570', 'Q9ULX7', 'P07451', 'P43166', 'P29972']",8
Acetylcysteine,CC(=O)NC(CS)C(=O)O,0,DB06151,"['P48637', 'Q9UPY5', 'Q03154', 'O14920', 'O15111', 'Q13224', 'Q05586', 'Q12879', 'O15399', 'Q8TCU5']",10
Acitretin,CC1=CC(=C(C(=C1C=CC(=CC=CC(=CC(=O)O)C)C)C)C)OC,1,DB00459,"['P19793', 'P40763', 'P10276', 'P10826', 'P13631', 'P48443', 'P28702', 'P09455']",8
Acyclovir,C1=NC2=C(N1COCCO)N=C(NC2=O)N,1,DB00787,"['P04293', 'P09252']",2
Adefovir dipivoxil,CC(C)(C)C(=O)OCOP(=O)(COCCN1C=NC2=C(N=CN=C21)N)OCOC(=O)C(C)(C)C,1,DB00718,['P24024'],1
Adenosine,C1=NC(=C2C(=N1)N(C=N2)C3C(C(C(O3)CO)O)O)N,0,DB00640,"['P30542', 'P29274', 'P29275', 'P0DMS8']",4
Albendazole,CCCSC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,1,DB00518,"['F1L7U3', 'Q71U36', 'P68371', 'P83223']",4
Albuterol,CC(C)(C)NCC(C1=CC(=C(C=C1)O)CO)O,0,DB01001,"['P07550', 'P08588', 'P13945']",3
Alclofenac,C=CCOC1=C(C=C(C=C1)CC(=O)O)Cl,1,DB13167,['P35354'],1
Alendronate sodium,C(CC(O)(P(=O)(O)O)P(=O)(O)[O-])CN.O.O.O.[Na+],1,DB00630,"['P14324', 'P29074', 'Q13332', 'P23469', 'P38606']",5
