dilirank_name,Z_mito,k_mito,Z_bile,k_bile,Z_reactive,k_reactive,Proposed_Mechanism,Max_Z_Mech,is_dili,tmc_prob,Mechanism_Declaration
Abacavir sulfate,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,0,0.3588859850551114,Unexplained / Idiosyncratic
Abaloparatide,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,0,0.2661693524145567,Unexplained / Idiosyncratic
Abemaciclib,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.5467350695248535,Unexplained / Idiosyncratic
Abiraterone acetate,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.4452487345016686,Unexplained / Idiosyncratic
Acarbose,-0.20903143546584,0,-0.1664192030310433,0,-0.1992047682223989,0,Unexplained,-0.1664192030310433,1,0.362449432855466,Unexplained / Idiosyncratic
Acebutolol hydrochloride,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.5124357378971082,Unexplained / Idiosyncratic
Aceclofenac,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.6121981960481356,Unexplained / Idiosyncratic
Acetaminophen,-0.2560101785464095,0,-0.2038210654133459,0,-0.2439750182371333,0,Unexplained,-0.2038210654133459,1,0.6745367476209874,Unexplained / Idiosyncratic
Acetazolamide,-0.2956150909981073,0,-0.2353522939658232,0,-0.2817180849095055,0,Unexplained,-0.2353522939658232,1,0.7109139828398028,Unexplained / Idiosyncratic
Acetylcysteine,-0.330507719323277,0,-0.2631318639840472,0,-0.314970394174356,0,Unexplained,-0.2631318639840472,0,0.4492175148119627,Unexplained / Idiosyncratic
Acitretin,-0.2956150909981073,0,-0.2353522939658232,0,-0.2817180849095055,0,Unexplained,-0.2353522939658232,1,0.816205592974426,Unexplained / Idiosyncratic
Acyclovir,-0.1478075454990536,0,-0.1176761469829116,0,-0.1408590424547527,0,Unexplained,-0.1176761469829116,1,0.5759864274196371,Unexplained / Idiosyncratic
Adefovir dipivoxil,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.3587373393394621,Unexplained / Idiosyncratic
Adenosine,-0.20903143546584,0,-0.1664192030310433,0,-0.1992047682223989,0,Unexplained,-0.1664192030310433,0,0.324852265791301,Unexplained / Idiosyncratic
Albendazole,-0.20903143546584,0,-0.1664192030310433,0,-0.1992047682223989,0,Unexplained,-0.1664192030310433,1,0.6158657612118421,Unexplained / Idiosyncratic
Albuterol,-0.1810265333029449,0,-0.1441232575024438,0,-0.1725163898355885,0,Unexplained,-0.1441232575024438,0,0.318512516619333,Unexplained / Idiosyncratic
Alclofenac,-0.10451571773292,0,-0.0832096015155216,0,-0.0996023841111994,0,Unexplained,-0.0832096015155216,1,0.6514630262497744,Unexplained / Idiosyncratic
