dilirank_name,Z_mito,k_mito,Z_bile,k_bile,Z_reactive,k_reactive,Proposed_Mechanism,Max_Z_Mech
Abacavir sulfate,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Abaloparatide,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Abemaciclib,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Abiraterone acetate,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Acarbose,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Acebutolol hydrochloride,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Aceclofenac,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Acetaminophen,-0.2560101785464095,0,-0.20382106541334596,0,-0.2439750182371333,0,Unexplained,-0.20382106541334596
Acetazolamide,-0.2956150909981073,0,-0.23535229396582322,0,-0.2817180849095055,0,Unexplained,-0.23535229396582322
Acetylcysteine,-0.330507719323277,0,-0.2631318639840472,0,-0.314970394174356,0,Unexplained,-0.2631318639840472
Acitretin,-0.2956150909981073,0,-0.23535229396582322,0,-0.2817180849095055,0,Unexplained,-0.23535229396582322
Acyclovir,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Adefovir dipivoxil,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Adenosine,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Albendazole,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Albuterol,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Alclofenac,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Alendronate sodium,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Alfentanil hydrochloride,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Alfuzosin hydrochloride,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Allopurinol,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Alosetron hydrochloride,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Alpelisib,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Alprazolam,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Alvimopan,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Amifampridine,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Amifostine,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Amikacin sulfate,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Amiloride hydrochloride,-0.31354715319876,0,-0.24962880454656505,0,-0.29880715233359845,0,Unexplained,-0.24962880454656505
Amineptine,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Aminocaproic acid,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Aminohippurate sodium,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Aminophylline,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Aminosalicylic acid ,-0.2560101785464095,0,-0.20382106541334596,0,-0.2439750182371333,0,Unexplained,-0.20382106541334596
Amiodarone hydrochloride,-0.2956150909981073,0,-0.23535229396582322,0,-0.2817180849095055,0,Unexplained,-0.23535229396582322
Amisulpride,-0.27652259721872974,0,-0.22015191230285366,0,-0.26352313834736496,0,Unexplained,-0.22015191230285366
Amitriptyline hydrochloride,-0.5530451944374595,0,-0.44030382460570733,0,-0.5270462766947299,0,Unexplained,-0.44030382460570733
Amoxicillin,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Amphetamine sulfate,-0.3466394204147899,0,-0.2759750271819735,0,-0.33034373632170494,0,Unexplained,-0.2759750271819735
Ampicillin sodium,-0.2956150909981073,0,-0.23535229396582322,0,-0.2817180849095055,0,Unexplained,-0.23535229396582322
Anastrozole,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Angiotensin ii acetate,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Anidulafungin,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Apalutamide,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Apixaban,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Aplaviroc,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Apomorphine hydrochloride,-0.39106200728936025,0,-0.3113418201610679,0,-0.37267799624996495,0,Unexplained,-0.3113418201610679
Apremilast,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Argatroban,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Arginine hydrochloride,-0.31354715319876,0,-0.24962880454656505,0,-0.29880715233359845,0,Unexplained,-0.24962880454656505
Aripiprazole,-0.644278153923165,0,-0.5129384327637505,0,-0.6139903313441727,0,Unexplained,-0.5129384327637505
Aripiprazole lauroxil,-0.5225785886646,0,-0.41604800757760846,0,-0.4980119205559973,0,Unexplained,-0.41604800757760846
Aspirin,-0.4555734516094202,0,-0.3627022441384479,0,-0.43415672687643975,0,Unexplained,-0.3627022441384479
Atazanavir sulfate,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Atenolol,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Atomoxetine hydrochloride,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Atropine,-0.2956150909981073,0,-0.23535229396582322,0,-0.2817180849095055,0,Unexplained,-0.23535229396582322
Auranofin,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Avanafil,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Avatrombopag maleate,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Azathioprine,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Azithromycin,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Bacitracin,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Baclofen,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Baloxavir marboxil,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Benazepril hydrochloride,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Bendazac,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Bendroflumethiazide,-0.2560101785464095,0,-0.20382106541334596,0,-0.2439750182371333,0,Unexplained,-0.20382106541334596
Benoxaprofen,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Benzbromarone,-0.23370424956798933,0,-0.18606232536937603,0,4.3118147028537805,1,Reactive,4.3118147028537805
Benzonatate,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Benzphetamine hydrochloride,-0.20903143546584,0,-0.16641920303104338,0,-0.19920476822239894,0,Unexplained,-0.16641920303104338
Benztropine mesylate,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Betaine,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Betrixaban,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Bexarotene,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Bicalutamide,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Biperiden hydrochloride,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Bisacodyl,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Bivalirudin,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Bortezomib,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Bosentan,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Brexanolone,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Brexpiprazole,-0.3620530666058899,0,-0.2882465150048876,0,-0.3450327796711771,0,Unexplained,-0.2882465150048876
Brivaracetam,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Bromfenac sodium,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Bromocriptine mesylate,-0.44342263649716096,0,-0.35302844094873487,0,-0.4225771273642583,0,Unexplained,-0.35302844094873487
Brompheniramine maleate,-0.2560101785464095,0,-0.20382106541334596,0,-0.2439750182371333,0,Unexplained,-0.20382106541334596
Budesonide,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Bupropion hydrochloride,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Butorphanol tartrate,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
Cabergoline,-0.46740849913597865,0,-0.37212465073875206,0,-0.44543540318737396,0,Unexplained,-0.37212465073875206
Caffeine citrate,-0.40478763419651437,0,-0.32226940091417094,0,-0.3857583749052298,0,Unexplained,-0.32226940091417094
Calcitonin salmon,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Calcitriol,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Calcium acetate,-0.46740849913597865,0,-0.37212465073875206,0,-0.44543540318737396,0,Unexplained,-0.37212465073875206
Canagliflozin,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Candesartan cilexetil,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Cangrelor,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Capecitabine,-0.14780754549905364,0,-0.11767614698291161,0,-0.14085904245475275,0,Unexplained,-0.11767614698291161
Capmatinib hydrochloride,-0.10451571773292,0,-0.08320960151552169,0,-0.09960238411119947,0,Unexplained,-0.08320960151552169
Captopril,-0.23370424956798933,0,-0.18606232536937603,0,-0.22271770159368698,0,Unexplained,-0.18606232536937603
Carbamazepine,-0.18102653330294494,0,-0.1441232575024438,0,-0.17251638983558856,0,Unexplained,-0.1441232575024438
