drugbank_id,drug_name,dilirank_name,n_targets,dilirank,is_dili,Z,I_T,mu_T,pool_size
DB00013,Urokinase,Urokinase,6,vNo-DILI-concern,0,2.592910904404679,0.6322728199789286,0.35123867520372976,572
DB00091,Cyclosporine,Cyclosporine,4,vMost-DILI-concern,1,-0.15625039146820746,0.0681930837491614,0.08121703846176039,680
DB00115,Cyanocobalamin,Cyanocobalamin,5,vNo-DILI-concern,0,0.441946121561886,0.2631598795247906,0.20044501048783903,752
DB00118,Ademetionine,Methionine,5,vNo-DILI-concern,0,-0.7455050879568167,0.1537443667011179,0.23660184040665566,687
DB00122,Choline,Choline c-11,5,vNo-DILI-concern,0,0.6616457078715641,0.2164306766200323,0.14526516628518363,660
DB00125,Arginine,Arginine hydrochloride,3,vNo-DILI-concern,0,-0.1964392146564791,0.07386416074809729,0.10073615049399132,514
DB00131,Adenosine phosphate,Adenosine,11,vNo-DILI-concern,0,-0.7994249701482159,0.1734557274501131,0.24363136933509275,1236
DB00133,Serine,Reserpine,6,vNo-DILI-concern,0,-0.49720118023828586,0.1309075050598594,0.17679252362945597,560
DB00134,Methionine,Methionine,5,vNo-DILI-concern,0,-0.5513727193331183,0.12163992561774539,0.18273534518790024,751
DB00142,Glutamic acid,Carglumic acid,31,vNo-DILI-concern,0,3.2202157531822104,1.2176630737356087,0.94924415462782,1967
DB00162,Vitamin A,Vitamin C,11,vNo-DILI-concern,0,0.6128090625657202,0.7640840178166162,0.6933764688146915,855
DB00163,Vitamin E,Vitamin E,5,vNo-DILI-concern,0,0.1729685518703793,0.3417062520894954,0.32725947124604016,257
DB00166,Lipoic acid,Valproic acid,3,vMost-DILI-concern,1,0.0012808256518554238,0.0205569751345016,0.020447153794068904,512
DB00172,Proline,Pemoline,14,vMost-DILI-concern,1,-1.4065680108904102,0.29449951564896176,0.39658191450743796,1414
DB00173,Adenine,Adenosine,4,vNo-DILI-concern,0,0.007515898983744757,0.0444075788703567,0.043821725762999544,439
DB00182,Amphetamine,Amphetamine sulfate,3,vLess-DILI-concern,1,0.04072292791349318,0.0895055440538364,0.08589874607822531,350
DB00188,Bortezomib,Bortezomib,3,vMost-DILI-concern,1,-0.16557851221387063,0.030319911183332098,0.04572801388134147,265
DB00197,Troglitazone,Troglitazone,7,vMost-DILI-concern,1,3.5529257386319064,0.6353364660400564,0.348222174126044,881
DB00201,Caffeine,Caffeine citrate,10,vNo-DILI-concern,0,1.2010143263289845,0.2848060096276592,0.1818261267151956,791
DB00227,Lovastatin,Lovastatin,3,vLess-DILI-concern,1,-0.08132224717986206,0.0360992402362532,0.04326478481632834,220
DB00233,Aminosalicylic acid,Aminosalicylic acid ,4,vMOST-DILI-concern,1,2.4446706727004432,0.38174505494172883,0.2124452692492843,341
DB00242,Cladribine,Cladribine,10,vLess-DILI-concern,1,0.4594334509141496,0.33651458510548604,0.2907101607257413,679
DB00244,Mesalazine,Mesalamine,5,vLess-DILI-concern,1,0.6058452998387699,0.3984683027525904,0.347282063860086,232
DB00246,Ziprasidone,Ziprasidone hydrochloride,3,vLess-DILI-concern,1,-0.002670790108699019,0.0401407873989792,0.04051756846367185,244
DB00248,Cabergoline,Cabergoline,4,vNo-DILI-concern,0,0.024204508221071227,0.0499660371507879,0.04691281421563121,470
DB00252,Phenytoin,Phenytoin,3,vMost-DILI-concern,1,2.1147835686425194,0.2269394192930013,0.045576303700509344,474
DB00279,Liothyronine,Liothyronine sodium,3,vNo-DILI-concern,0,-0.36305604747216386,0.0551528673982849,0.086593808901206,331
DB00281,Lidocaine,Lidocaine,4,vNo-DILI-concern,0,1.0213340923855172,0.2540227235341682,0.16754339610987934,514
DB00313,Valproic acid,Valproic acid,13,vMost-DILI-concern,1,-0.3613267959605603,0.41344465329724567,0.439491555056262,1450
DB00316,Acetaminophen,Acetaminophen,3,vMost-DILI-concern,1,1.7853803690737746,0.2817927957968599,0.12617650620603912,404
DB00321,Amitriptyline,Amitriptyline hydrochloride,3,vLess-DILI-concern,1,0.005634124263032337,0.036374528326433696,0.0357567934826257,386
DB00328,Indomethacin,Indomethacin,7,vMost-DILI-concern,1,4.917098209516696,0.6376598103458218,0.34072264542373354,532
DB00331,Metformin,Metformin hydrochloride,4,vLess-DILI-concern,1,-0.008942866717544616,0.033225323974772805,0.03411789904745194,504
DB00346,Alfuzosin,Alfuzosin hydrochloride,3,vLess-DILI-concern,1,-0.003742612015088071,0.0396452221224486,0.0401732069053323,241
DB00363,Clozapine,Clozapine,5,vMost-DILI-concern,1,1.403951437891738,0.2948731443588945,0.14574614278717285,519
DB00367,Levonorgestrel,Levonorgestrel,5,vNo-DILI-concern,0,1.2312004900215459,0.2912007756815035,0.19514630885565531,524
DB00368,Norepinephrine,Norepinephrine bitartrate,5,vNo-DILI-concern,0,-0.054380016221758344,0.0681269313356162,0.07371889718667399,677
DB00390,Digoxin,Digoxin,4,vNo-DILI-concern,0,0.0019981265450498696,0.0288441453267431,0.0285623850995487,264
DB00396,Progesterone,Progesterone,7,vLess-DILI-concern,1,1.729143932460186,0.43264887631522986,0.2941947291389968,826
DB00398,Sorafenib,Regorafenib,8,vMost-DILI-concern,1,0.6095362294093732,0.3193662408931959,0.25571352967225325,628
DB00408,Loxapine,Clozapine,3,vMost-DILI-concern,1,-0.002670790108699019,0.0401407873989792,0.04051756846367185,244
DB00412,Rosiglitazone,Rosiglitazone maleate,6,vLess-DILI-concern,1,0.6412102694473067,0.3734096555525367,0.29797203694732083,756
DB00421,Spironolactone,Spironolactone,5,vLess-DILI-concern,1,1.5604968919779756,0.2861370775919089,0.13633804047445652,518
DB00441,Gemcitabine,Gemcitabine hydrochloride,3,vMost-DILI-concern,1,0.0070758181597418,0.045890017374223,0.045046343428630564,389
DB00451,Levothyroxine,Levothyroxine sodium,3,vLess-DILI-concern,1,-0.4629229936251701,0.074815640256896,0.1138920538543762,432
DB00457,Prazosin,Terazosin hydrochloride,4,vNo-DILI-concern,0,-0.004732043808638249,0.0533558614397954,0.05402342461822913,244
DB00458,Imipramine,Imipramine hydrochloride,4,vLess-DILI-concern,1,0.48508335589364693,0.1479379112518586,0.10835465941764494,510
DB00459,Acitretin,Acitretin,7,vMost-DILI-concern,1,1.1335697872883714,0.5155347073445242,0.40675772122741266,829
DB00477,Chlorpromazine,Chlorpromazine hydrochloride,6,vLess-DILI-concern,1,0.34649956584575986,0.15954904751838492,0.12749817222614698,679
DB00480,Lenalidomide,Lenalidomide,3,vLess-DILI-concern,1,1.925502464328565,0.2772135461111117,0.1294591980794733,467
DB00482,Celecoxib,Celecoxib,5,vLess-DILI-concern,1,1.924041418404765,0.2843974984912348,0.11663948373534655,708
DB00491,Miglitol,Miglitol,3,vNo-DILI-concern,0,0.057842753487665724,0.051755764834280606,0.0467757287470387,276
DB00515,Cisplatin,Cisplatin,3,vLess-DILI-concern,1,4.639880633260589,0.5420617565380372,0.24603014007126306,326
DB00523,Alitretinoin,Tretinoin,6,vLess-DILI-concern,1,-0.2375909578048029,0.3121047962705331,0.33789569124115687,752
DB00540,Nortriptyline,Nortriptyline hydrochloride,3,vMost-DILI-concern,1,-0.010580412087294298,0.0389356412542746,0.03988531043325293,247
DB00545,Pyridostigmine,Pyridostigmine bromide,3,vLess-DILI-concern,1,0.7873385113908598,0.24176684010044808,0.1498608456522677,518
DB00563,Methotrexate,Methotrexate sodium,4,vMost-DILI-concern,1,-0.03739330265848838,0.07069736676331399,0.07546580526580271,500
