uniprot_id,gene_symbol
A2QLK4,fksA
B4URF0,PDZK1IP1
C3T8E2,mdtK
D6R448,mecA
F5HC79,TRM1
G5EBR3,glc-1
K9N7C7,rep
O00141,SGK1
O00206,TLR4
O00244,ATOX1
O00264,PGRMC1
O00305,CACNB4
O00329,PIK3CD
O00469,PLOD2
O00555,CACNA1A
O00763,ACACB
O00764,PDXK
O07529,azr
O14649,KCNK3
O14746,TERT
O14764,GABRD
O14788,TNFSF11
O14832,PHYH
O14920,IKBKB
O15111,CHUK
O15379,HDAC3
O15392,BIRC5
O15399,GRIN2D
O15440,ABCC2
O15530,PDPK1
O15554,KCNN4
O25608,rdxA
O34974,cmoJ
O39930,NS5b
O43246,SLC7A4
O43451,MGAM
O43497,CACNA1G
O43525,KCNQ3
O43526,KCNQ2
O43570,CAV2
O43613,HCRTR1
O43614,HCRTR2
O43772,SLC25A20
O60218,AKR1B10
O60285,NUAK1
O60341,KDR
O60391,GRIN3B
O60488,ACSL4
O60568,PLOD3
O60674,JAK2
O60706,ABCC9
O60840,CACNA1F
O60894,RAMP1
O60895,RAMP2
O60896,RAMP3
O60939,SCN2B
O67135,acuC1
O69755,phzG
O75340,PDCD6
O75469,NR1I2
O75493,CA11
O75676,RPS6KA4
O75899,GABBR2
O75936,BBOX1
O76054,SEC14L2
O76074,PDE5A
O76082,SLC22A5
O94760,DDAH1
O94788,ALDH1A2
O94956,SLC22A6
O95069,KCNK2
O95180,CACNA1H
O95259,KCNH1
O95264,HTR3B
O95298,NDUFC2
O95342,ABCB11
O95477,ABCA1
O95644,NFATC1
O95718,ESRRB
O95749,GGPS1
O95750,FGF19
O95977,S1PR4
O96394,PRMT7
P00183,camC
P00338,LDHA
P00352,ALDH1A1
P00363,frdA
P00374,DHFR
P00439,PAH
P00441,SOD1
P00450,CP
P00491,PNP
P00492,HPRT1
P00519,ABL1
P00533,EGFR
P00734,F2
P00742,F10
P00747,PLG
P00748,F12
P00749,PLAU
P00750,PLAT
P00760,ANPEP
P00797,REN
P00811,ADA
P00813,ADA
P00846,MT-ATP6
P00915,CA1
P00918,CA2
P00966,ASS1
P01008,SERPINC1
P01023,A2M
P01106,MYC
P01137,TGFB1
P01148,GNRH1
P01189,POMC
P01270,PTH
P01375,TNF
P01563,IFNA2
P01584,IL1B
P02585,TNNC2
P02708,CHRNA1
P02753,RBP4
P02763,ORM1
P02768,ALB
P02776,PF4
P02787,TF
P02788,LTF
P02818,BGLAP
P02918,mrcA
P02919,mrcB
P03366,gag-pol
P03372,ESR1
P03433,PA
P03468,HPV16E6
P03952,KLKB1
P04035,HMGCR
P04049,RAF1
P04054,PPIA
P04070,PROC
P04080,CSTB
P04083,ANXA1
P04150,NR3C1
P04155,TFF1
P04191,LDLR
P04271,S100B
P04278,SHBG
P04424,ASL
P04585,gag-pol
P04626,ERBB2
P04629,NTRK1
P04637,TP53
P04746,AMY2A
P04760,GLA
P04798,CYP1A1
P04818,TYMS
P05023,ATP1A1
P05026,ATP1B1
P05067,APP
P05091,ALDH2
P05093,CYP17A1
P05106,ITGB3
P05109,S100A8
P05120,SERPINB2
P05121,SERPINE1
P05154,SERPINA5
P05155,SERPING1
P05164,MPO
P05177,CYP1A2
P05187,ALPP
P05230,FGF1
P05412,JUN
P05653,gyrA
P05771,PRKCB
P06239,LCK
P06241,FYN
P06276,BCHE
P06280,GLA
P06310,IGKV2-30
P06401,PGR
P06493,CDK1
P06702,S100A9
P06737,PYGL
P06746,POLB
P06756,ITGAV
P06850,CRH
P06858,LPL
P06864,ebgA
P07098,LIPF
P07101,TH
P07148,FABP1
P07195,LDHB
P07202,TPO
P07204,THBD
P07288,KLK3
P07333,CSF1R
