test_compound,reference_drug,reference_ltkbid,reference_dilirank,reference_category,tanimoto_similarity
Hyperforin,Abacavir sulfate,LT00040,vMOST-DILI-concern,DILI_positive,0.07954545454545454
Hyperforin,Abemaciclib,LT03619,vLess-DILI-concern,DILI_positive,0.10309278350515463
Hyperforin,Abiraterone acetate,LT02339,vMost-DILI-concern,DILI_positive,0.11363636363636363
Hyperforin,Acamprosate calcium,LT01141,vLess-DILI-concern,DILI_positive,0.0967741935483871
Hyperforin,Acarbose,LT01034,vMost-DILI-concern,DILI_positive,0.12244897959183673
Hyperforin,Acebutolol hydrochloride,LT01035,vLess-DILI-concern,DILI_positive,0.12195121951219512
Hyperforin,Aceclofenac,LT01853,vLess-DILI-concern,DILI_positive,0.09333333333333334
Hyperforin,Acetaminophen,LT00004,vMost-DILI-concern,DILI_positive,0.12280701754385964
Hyperforin,Acetazolamide,LT00498,vMost-DILI-concern,DILI_positive,0.09090909090909091
Hyperforin,Acitretin,LT01042,vMost-DILI-concern,DILI_positive,0.08974358974358974
Hyperforin,Acyclovir,LT00041,vLess-DILI-concern,DILI_positive,0.07894736842105263
Hyperforin,Adefovir dipivoxil,LT01155,vLess-DILI-concern,DILI_positive,0.07865168539325842
Hyperforin,Alaproclate,LT02213,vMost-DILI-concern,DILI_positive,0.11594202898550725
Hyperforin,Alatrofloxacin mesylate,LT00461,vMost-DILI-concern,DILI_positive,0.09523809523809523
Hyperforin,Albendazole,LT00499,vMost-DILI-concern,DILI_positive,0.075
Hyperforin,Alclofenac,LT00692,vMost-DILI-concern,DILI_positive,0.09859154929577464
Hyperforin,Alendronate sodium,LT00980,vLess-DILI-concern,DILI_positive,0.04477611940298507
Hyperforin,Alfuzosin hydrochloride,LT01107,vLess-DILI-concern,DILI_positive,0.09574468085106383
Hyperforin,Aliskiren hemifumarate,LT01244,vLess-DILI-concern,DILI_positive,0.08653846153846154
Hyperforin,Allopurinol,LT00043,vMost-DILI-concern,DILI_positive,0.046153846153846156
Hyperforin,Alosetron hydrochloride,LT01070,vLess-DILI-concern,DILI_positive,0.08235294117647059
Hyperforin,Alpelisib,LT03621,vLess-DILI-concern,DILI_positive,0.08247422680412371
Hyperforin,Alpidem,LT01060,vMost-DILI-concern,DILI_positive,0.07317073170731707
Hyperforin,Alprazolam,LT00501,vLess-DILI-concern,DILI_positive,0.036585365853658534
Hyperforin,Amiloride hydrochloride,LT02070,vLess-DILI-concern,DILI_positive,0.057971014492753624
Hyperforin,Amineptine,LT00045,vMost-DILI-concern,DILI_positive,0.11267605633802817
Hyperforin,Aminosalicylic acid ,LT00505,vMOST-DILI-concern,DILI_positive,0.08196721311475409
Hyperforin,Amiodarone hydrochloride,LT00046,vMost-DILI-concern,DILI_positive,0.06521739130434782
Hyperforin,Amisulpride,LT01793,vLess-DILI-concern,DILI_positive,0.11764705882352941
Hyperforin,Amitriptyline hydrochloride,LT00047,vLess-DILI-concern,DILI_positive,0.08823529411764706
Hyperforin,Amlodipine besylate,LT00175,vLess-DILI-concern,DILI_positive,0.09574468085106383
Hyperforin,Amoxicillin,LT00507,vLess-DILI-concern,DILI_positive,0.12345679012345678
Hyperforin,Amphetamine sulfate,LT02100,vLess-DILI-concern,DILI_positive,0.11290322580645161
Hyperforin,Amphotericin B,LT00048,vLess-DILI-concern,DILI_positive,0.11926605504587157
Hyperforin,Ampicillin sodium,LT00049,vLess-DILI-concern,DILI_positive,0.10843373493975904
Hyperforin,Anastrozole,LT00263,vLess-DILI-concern,DILI_positive,0.04
Hyperforin,Anidulafungin,LT01203,vMost-DILI-concern,DILI_positive,0.11764705882352941
Hyperforin,Apixaban,LT02418,vLess-DILI-concern,DILI_positive,0.09195402298850575
Hyperforin,Aplaviroc,LT00693,vMost-DILI-concern,DILI_positive,0.12244897959183673
Hyperforin,Aripiprazole,LT01143,vLess-DILI-concern,DILI_positive,0.08888888888888889
Hyperforin,Aripiprazole lauroxil,LT03624,vLess-DILI-concern,DILI_positive,0.0970873786407767
Hyperforin,Aspirin,LT00053,vLess-DILI-concern,DILI_positive,0.0967741935483871
Hyperforin,Atazanavir sulfate,LT01199,vLess-DILI-concern,DILI_positive,0.07766990291262135
Hyperforin,Atenolol,LT00277,vLess-DILI-concern,DILI_positive,0.1095890410958904
Hyperforin,Atomoxetine hydrochloride,LT01139,vMost-DILI-concern,DILI_positive,0.0547945205479452
Hyperforin,Atorvastatin calcium,LT00258,vMost-DILI-concern,DILI_positive,0.08333333333333333
Hyperforin,Auranofin,LT02166,vLess-DILI-concern,DILI_positive,0.09722222222222222
Hyperforin,Azathioprine,LT00006,vMost-DILI-concern,DILI_positive,0.03614457831325301
Hyperforin,Azithromycin,LT00265,vLess-DILI-concern,DILI_positive,0.08771929824561403
Hyperforin,Baclofen,LT01113,vLess-DILI-concern,DILI_positive,0.09230769230769231
Hyperforin,Benazepril hydrochloride,LT01116,vLess-DILI-concern,DILI_positive,0.125
Hyperforin,Bendazac,LT01117,vMost-DILI-concern,DILI_positive,0.06666666666666667
Hyperforin,Bendroflumethiazide,LT00825,vLess-DILI-concern,DILI_positive,0.04597701149425287
Hyperforin,Benoxaprofen,LT00513,vMost-DILI-concern,DILI_positive,0.10526315789473684
Hyperforin,Benzarone,LT01120,vMost-DILI-concern,DILI_positive,0.09859154929577464
Hyperforin,Benzbromarone,LT00278,vMost-DILI-concern,DILI_positive,0.09333333333333334
Hyperforin,Benziodarone,LT01121,vMost-DILI-concern,DILI_positive,0.0945945945945946
Hyperforin,Benzonatate,LT00800,vLess-DILI-concern,DILI_positive,0.07894736842105263
Hyperforin,Bexarotene,LT01064,vMost-DILI-concern,DILI_positive,0.09859154929577464
Hyperforin,Bicalutamide,LT00056,vMost-DILI-concern,DILI_positive,0.09302325581395349
Hyperforin,Bortezomib,LT01202,vMost-DILI-concern,DILI_positive,0.10588235294117647
Hyperforin,Bosentan,LT01140,vMost-DILI-concern,DILI_positive,0.061855670103092786
Hyperforin,Bosutinib monohydrate,LT02349,vMost-DILI-concern,DILI_positive,0.050505050505050504
Hyperforin,Bromfenac sodium,LT00519,vMost-DILI-concern,DILI_positive,0.08
Hyperforin,Bromocriptine mesylate,LT00279,vLess-DILI-concern,DILI_positive,0.11666666666666667
Hyperforin,Bupropion hydrochloride,LT00058,vLess-DILI-concern,DILI_positive,0.11594202898550725
Hyperforin,Busulfan,LT00280,vMost-DILI-concern,DILI_positive,0.05357142857142857
Hyperforin,Canagliflozin,LT02899,vLess-DILI-concern,DILI_positive,0.07954545454545454
Hyperforin,Candesartan cilexetil,LT01022,vLess-DILI-concern,DILI_positive,0.1
Hyperforin,Capecitabine,LT02018,vLess-DILI-concern,DILI_positive,0.10227272727272728
Hyperforin,Capmatinib hydrochloride,LT03646,vLess-DILI-concern,DILI_positive,0.06060606060606061
Hyperforin,Captopril,LT00059,vLess-DILI-concern,DILI_positive,0.15384615384615385
Hyperforin,Carbamazepine,LT00060,vMost-DILI-concern,DILI_positive,0.06349206349206349
Hyperforin,Carbenicillin disodium,LT01159,vLess-DILI-concern,DILI_positive,0.10843373493975904
